event_bin,event_interval,event_center,estimate,ci_low,ci_high,observations,bootstrap_replicates,bootstrap_seed
0,-0.8--0.4,-0.6,1.086281953176655,-2.3509845188710172,3.967688611607195,1020,20000,20261011
1,-0.4--0.2,-0.3,0.12362002151853677,-3.500454699858693,3.5247093565860483,982,20000,20261011
2,-0.2-0,-0.1,0.8597657454649053,-1.3613381026235054,3.113405964107279,1269,20000,20261011
3,0-0.2,0.1,10.705349404676854,8.297590886736861,13.189952039138337,1193,20000,20261011
4,0.2-0.4,0.3,12.468849079992923,8.013324628790459,17.917398150113538,859,20000,20261011
5,0.4-0.8,0.6,11.811609763873612,4.834592436916125,20.733411517507257,821,20000,20261011
