model,seed,boundary,fraction,evaluation_set,n,accuracy,margin_mean,margin_std,positive_margin_rate
word_tfidf_bt,20260728,naive,0.4,untouched_clean_test,512,0.49609375,-0.11516177015104291,0.06977756881859758,0.05859375
word_tfidf_bt,20260728,naive,0.4,external,372,0.510752688172043,-0.10246105215331187,0.09036362855401202,0.12365591397849462
word_tfidf_bt,20260728,naive,0.6,target,512,0.560546875,-0.10294024044655209,0.10466682095345581,0.111328125
word_tfidf_bt,20260728,naive,0.6,clean_validation,512,0.4609375,-0.09756014472623692,0.08833542838968225,0.107421875
word_tfidf_bt,20260728,naive,0.6,untouched_clean_test,512,0.4765625,-0.0992936735710755,0.08860592726728442,0.11328125
word_tfidf_bt,20260728,naive,0.6,external,372,0.5241935483870968,-0.08912076184658961,0.11515662303424763,0.19623655913978494
word_tfidf_bt,20260728,naive,0.8,target,512,0.60546875,-0.07214268743371674,0.12667795999145598,0.22265625
word_tfidf_bt,20260728,naive,0.8,clean_validation,512,0.4765625,-0.06611942778050409,0.10527879610701862,0.212890625
word_tfidf_bt,20260728,naive,0.8,untouched_clean_test,512,0.470703125,-0.06712076216816158,0.10771491679305416,0.208984375
word_tfidf_bt,20260728,naive,0.8,external,372,0.5349462365591398,-0.05358065297017257,0.13576789598756342,0.31451612903225806
word_tfidf_bt,20260728,naive,1.0,target,512,0.64453125,-0.0347214568781475,0.14493946728099738,0.35546875
word_tfidf_bt,20260728,naive,1.0,clean_validation,512,0.505859375,-0.02811463499266077,0.12346498247946444,0.34375
word_tfidf_bt,20260728,naive,1.0,untouched_clean_test,512,0.474609375,-0.03214553852914992,0.12802167528257605,0.337890625
word_tfidf_bt,20260728,naive,1.0,external,372,0.5376344086021505,-0.016570733367664434,0.1520622729192214,0.43548387096774194
word_tfidf_bt,20260728,safe,0.2,target,512,0.494140625,0.00727814820994774,0.04755837129373598,0.580078125
word_tfidf_bt,20260728,safe,0.2,clean_validation,512,0.544921875,0.010517472621811182,0.04648544885015401,0.625
word_tfidf_bt,20260728,safe,0.2,untouched_clean_test,512,0.482421875,0.007759165369985669,0.048113009855646295,0.552734375
word_tfidf_bt,20260728,safe,0.2,external,372,0.5645161290322581,0.01446749066036949,0.05995944850212922,0.6182795698924731
word_tfidf_bt,20260728,safe,0.4,target,512,0.513671875,-0.09789415493178141,0.07079197338414436,0.076171875
word_tfidf_bt,20260728,safe,0.4,clean_validation,512,0.48828125,-0.09388153096476375,0.07033286493778519,0.076171875
word_tfidf_bt,20260728,safe,0.4,untouched_clean_test,512,0.484375,-0.09795454579904962,0.07141353257692139,0.078125
word_tfidf_bt,20260728,safe,0.4,external,372,0.5268817204301075,-0.0856490624928229,0.09087916164237086,0.15591397849462366
word_tfidf_bt,20260728,safe,0.6,target,512,0.517578125,-0.08884959498218448,0.08747032066175768,0.119140625
word_tfidf_bt,20260728,safe,0.6,clean_validation,512,0.4609375,-0.0858489683178211,0.090718195534293,0.126953125
