label,same_view,cross_view_only,any_view
Preference record,59.54387704511651,0.0,59.54387704511651
Preference context,62.17154189390184,5.35448686167575,67.5260287555776
Feedback record,59.538989700833746,0.0,59.538989700833746
Feedback context,62.2854340362923,5.34575772437469,67.631191760667
Edit record,59.22330097087378,0.0,59.22330097087378
Edit context,61.99722607489597,21.63661581137309,83.63384188626907
Principle record,48.6328125,0.0,48.6328125
Principle context,60.64453125,10.44921875,71.09375
Edit-quality record,0.0,0.0,0.0
Edit-quality context,7.9754601226993795,67.48466257668711,75.4601226993865
Edit-quality response,0.61349693251533,69.32515337423312,69.93865030674846
Edit-quality feedback,0.0,66.25766871165644,66.25766871165644
Edit-quality edit relation,0.0,63.190184049079754,63.190184049079754
